"id","generated_procedure_name","generated_procedure_description","procedure_name"
107,"Circle Mesh Hernia Patch with Kugel Technology, 7.5cm diameter and 3 inches in length","This is a medical procedure for repairing a hernia using a mesh patch called a Kugel patch. The specific patch mentioned is a small circle measuring 7.5 cm in diameter and 3 inches in length.","mesh hernia patch kugel sm circle 7.5cmx3in"
108,"Silver Pain Relief Pump with On-Q Kit Expansion - Convenient Pain Management Solution","Silver Pain Relief Pump with On-Q Kit Expansion - Convenient Pain Management Solution","kit expansion pain pump on-q 10in silver"
109,"Advanced Minimally Invasive Stitching Procedure with Overstitch Endoscopic Technology","The overstitch endoscopic suturing system is a medical procedure used in endoscopic surgery. It involves using a device to place sutures within the gastrointestinal tract, allowing for minimally invasive treatment of certain conditions.","overstitch endoscopic suturing system"
110,"Computed tomography (CT) scan of the face and jaw without injection of contrast dye.","This is a medical imaging procedure that uses a CT scanner to create detailed images of the bones and soft tissues in the face and jaw area. The procedure is performed without the use of contrast agents (dyes or chemicals that are injected into the body to help highlight specific areas). It is typically used to diagnose and monitor conditions such as facial fractures, tumors, infections, and dental issues.","ct maxillofacial w/o contrast"
111,"Magnetic Resonance Imaging (MRI) of Face, Neck, and Orbit with and without Contrast.","This is a medical imaging procedure called MRI (Magnetic Resonance Imaging) of the face, neck, and orbit with and without contrast. MRI uses a strong magnetic field and radio waves to produce detailed images of the body's internal structures. The contrast agent is a dye given through an IV to enhance the visibility of certain tissues or blood vessels. This type of MRI is typically used to diagnose conditions affecting the face, neck, and eye sockets, such as tumors, infections, or inflammation.","mri face neck orbit w/ + w/o contrast"
112,"Direct measurement of arterial blood gas with analysis of 91 respiratory parameters.","Direct measurement of arterial blood gas with analysis of 91 respiratory parameters.","blood gas direct measure w/91 (respiratory)"
113,"Magnetic Resonance Imaging (MRI) and Semi-Circular External Fixation with Rod (5028-7-030)","Magnetic Resonance Imaging and Semi-Circular External Fixation with Rod (5028-7-030)","rod mri semi circular ext fix 5028-7-030"
114,"Computed Tomography (CT) scan of the Eye Sockets and Pituitary Gland with Contrast.","CT orbits sella w/ contrast is a medical procedure in which a computed tomography (CT) scan is used to generate detailed images of the patient's eyes, nasal cavities, and the sella turcica (a saddle-shaped depression in the sphenoid bone of the skull that contains the pituitary gland). Contrast dye is often used during the procedure to help highlight certain structures or abnormalities. The images generated by the scan can help healthcare providers diagnose issues such as tumors, infections, or other conditions affecting the areas in question.","ct orbits sella w/ contrast"
115,"Injecting anesthesia into the lumbar and thoracic paravertebral sympathetic nerves.","No description.","inject anes lum/thor parav symp nrv"
116,"Computed tomography (CT) scan of the brain without evidence or suspicion of stroke.","CT brain w/o code stroke is a medical imaging procedure that uses a computed tomography (CT) scanner to create detailed images of the brain without using contrast material. It is typically used to diagnose and monitor conditions such as head trauma, brain tumors, aneurysms, and other neurological disorders. The w/o code stroke means that the procedure is not being specifically performed to identify a stroke, but the results may still be useful in determining if a patient has had a stroke or is at risk for one.","ct brain w/o code stroke"
117,"Laser Shield Tube II - Precision Laser Surgery Procedure for 6.5mm Diameter Tissues","Laser Shield Tube II - Precision Laser Surgery Procedure for 6.5mm Diameter Tissues","laser shield tube ii 6.5mm 70-60350"
118,"Magnetic Resonance Imaging (MRI) Guided Long Blade Osteotome with a 10mmx5mm Blade.","Magnetic Resonance Imaging (MRI) Guided Long Blade Osteotome with a 10mmx5mm Blade.","blade osteotome long mri 10mmx5mm"
119,"MRI-guided hip biopsy with a 20.5mm inner diameter trephine, performed non-sterile.","MRI-guided hip biopsy with a 20.5mm inner diameter trephine, performed non-sterile.","hip trephine 20.5mm id mri non-ster"
120,"Lucia EYE-Quality Enhancement Surgery with Innovative Lens Implant for Clear Vision","This is a medical procedure called implantation of a lens (IOL) with a specific model and size called Lucia 602 with a power of 15.0 diopters.","lens iol ct lucia 602 15.0 diopter"
121,"Deleted Endovascular Repair of Abdominal Aortic Aneurysm with Stents and Implants.","Deleted Endovascular Repair of Abdominal Aortic Aneurysm with Stents and Implants.","deleted endovasc repair aaa s&i"
122,"Brachiocephalic Angiography with Selective Catheterization of First Order Branches","Brachiocephalic Angiography with Selective Catheterization of First Order Branches","select cath art - brach-ceph 1st order"
123,"Kidney Tissue Sampling via Puncture using Trocar or Needle (Procedure Code: 50200)","This is the medical procedure of percutaneous renal biopsy, which involves using a trocar or needle to extract a small sample of tissue from the kidney for diagnostic purposes. The procedure is typically performed under local anesthesia and guided by ultrasound or CT imaging.","percutaneous renal biopsy by trocar or needle 50200"
124,"Ongoing Ultrasound Monitoring Every 15 Minutes for Medical Assessment (Code 97035)","Ongoing Ultrasound Monitoring Every 15 Minutes for Medical Assessment (Code 97035)","ot ultrasound ea 15 min 97035"
125,"Comprehensive evaluation and successful liver transplant procedure at ZZ facility.","The medical procedure is a liver transplant which involves the replacement of a damaged or diseased liver with a healthy liver from a donor. Before the transplant surgery, the patient undergoes a thorough evaluation at a medical facility to determine if they are a suitable candidate for the procedure. This evaluation may include blood tests, imaging scans, and other medical tests and examinations to assess the patient's overall health and ability to tolerate the transplant surgery. The procedure is typically performed under general anesthesia and involves the removal of the patient's damaged liver and the replacement of the healthy donor liver. After the surgery, the patient is closely monitored and receives ongoing medical care to prevent complications and ensure a successful recovery.","zzfacility patient eval, liver transplant"
126,"Extension of kit with 8 contacts at a length of 35cm - Procedure code: SC-3138-35.","Extension of kit with 8 contacts at a length of 35cm - Procedure code: SC-3138-35.","kit extension 8 contact 35cm sc-3138-35"
127,"MRI-guided Rod Insertion, 5.0mm Diameter x 150mm Length (Product Code: 5048-5-150)","MRI-guided Rod Insertion, 5.0mm Diameter x 150mm Length (Product Code: 5048-5-150)","rod mri 5.0x150mm 5048-5-150"
128,"Vision Restoration Surgery with Advanced Lens Implant - Lucia 602.s (17.5 Diopter)","This is a description of a specific type of intraocular lens (IOL) called Lucia 602.s with a power of 17.5 diopters. It is an implantable lens used in cataract surgery to replace the natural lens of the eye that has been clouded by a cataract. The description may also refer to a computed tomography (CT) scan of the eye to evaluate the anatomy and measure the appropriate IOL power for the patient.","lens iol ct lucia 602.s 17.5 diopter"
129,"Repair of an implanted central venous access device without using a port or pump.","No Description","inf repair cvad w/o port/pump"
130,"Endovascular Repair of Abdominal Aortic Aneurysm or Iliac Artery using Prostheses","Endovascular repair of abdominal aortic aneurysm (AAA) or iliac artery aneurysm/prostheses.","deleted endovasc repair aaa/iac prosthe"
131,"Introduction and Sheathing of Non-Cardiac Non-Laser Medical Instruments (ISNCNLI)","Introduction and Sheathing of Non-Cardiac Non-Laser Medical Instruments (ISNCNLI)","c1894 intro/sheath non-card non-laser"
132,"Skin biopsy for small surface area in square millimeters, with a single incision.","Skin biopsy for small surface area in square millimeters, with a single incision.","biopsy skin sq/mm sgl"
133,"Administration of Impact Peptide 1.5 Solution with a Formula of 1,000 Milliliters","Administration of Impact Peptide 1.5 Solution with a Formula of 1,000 Milliliters","formula, impact peptide 1.5 1,000 mls"
134,"CT-guided joint/bursa inter-articular aspiration and injection of the right side.","This is a medical procedure known as CT-guided joint/bursa interarticular aspiration/injection on the right side. It involves using a CT scan to guide a needle into the joint or bursa, removing fluid or injecting medication to reduce inflammation and pain.","ct joint/bursa inter arthr/asp/inj right"
135,"Percutaneous transcatheter tricuspid valve repair with prosthetic valve addition.","This medical procedure is Transcatheter Tricuspid Valve Repair or Transcatheter Tricuspid Valve Replacement. It is a minimally invasive procedure in which a prosthetic valve is implanted into the heart via a catheter inserted through a vein in the leg or neck. The procedure is performed to treat tricuspid valve regurgitation, a condition in which the valve does not close properly and allows blood to flow back into the heart.","transcath tricuspid repair perc ea add prosthesis"
136,"Repair and Stabilization of Knee Ligaments Using Secondary Fixation Kit - AR-1593","Repair and Stabilization of Knee Ligaments Using Secondary Fixation Kit - AR-1593","kit repair secondary fixation acl/pcl ar-1593"
